Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
1, 2, 3, -1 - -31, -3, 3, 2, 92.889187 - 0.260806
2, 4, 5, -1 - 0, 1, 1, -13, -15.475936 - 0.212105
3, 6, 7, -1 - -43, 6, 51, -4, 94.738609 - 0.389415
4, 8, 9, -1 - 5, 9, 0, 0, 76.732688 - 0.422097
5, 10, 11, -1 - 5, -1, 6, -7, -25.833918 - 0.231637
6, 12, 13, -1 - -13, 54, 42, -1, -91.119114 - 0.386420
7, 14, 15, -1 - 2, -22, 4, -10, -34.018983 - 0.281220
8, 16, 17, -1 - 32, -19, 57, 15, 39.109470 - 0.270708
9, 18, 19, -1 - 17, -1, 1, 1, 48.844874 - 0.667268
10, 20, 21, -1 - 10, 21, 0, 0, 40.208136 - 0.672582
11, 22, 23, -1 - 6, -56, -58, 0, 31.272317 - 0.148863
12, 24, 25, -1 - -10, -45, 2, 21, 89.342936 - 0.346738
13, 26, 27, -1 - 24, 41, -4, -39, 42.191839 - 0.376528
14, 28, 29, -1 - 9, -41, 32, 33, -26.712851 - 0.890476
15, 30, 31, -1 - -27, 11, 13, 0, 85.937071 - 0.275560
16, 32, 33, -1 - 41, -8, -44, 0, 83.892331 - 0.297123
17, 34, 35, -1 - -40, 39, 0, -16, -73.351238 - 0.362327
18, 36, 37, -1 - 5, 20, -24, 48, -64.201788 - 0.558148
19, 38, 39, -1 - 11, 40, -5, -42, 6.448561 - 0.403051
20, 40, 41, -1 - 23, -39, 3, 1, 68.724631 - 0.352509
21, 42, 43, -1 - -26, 18, 13, 55, -60.216071 - 0.693748
22, 44, 45, -1 - 1, 14, -1, 0, 51.658681 - 0.174496
23, 46, 47, -1 - -44, -25, -2, -31, -98.480178 - 0.165379
24, 48, 49, -1 - -14, -17, 11, -10, 98.315378 - 0.331634
25, 50, 51, -1 - -8, -46, -36, 5, 31.919309 - 0.315843
26, 52, 53, -1 - 28, 14, 0, 0, 36.210211 - 0.419664
27, 54, 55, -1 - -10, -54, 0, 0, 76.097903 - 0.486505
28, 56, 57, -1 - 0, 0, -21, -42, -46.049379 - 0.887791
29, 58, 59, -1 - 0, -11, -3, -49, -62.443922 - 0.805291
30, 60, 61, -1 - 1, 2, 42, 19, -28.049562 - 0.377844
31, 62, 63, -1 - 12, 50, -22, -18, 29.337443 - 0.318653
32, 64, 65, -1 - -49, 15, -12, -56, -32.053591 - 0.313574
33, 66, 67, -1 - -14, 40, 0, 0, 26.902066 - 0.523021
34, 68, 69, -1 - 7, -54, -41, -15, 37.076937 - 0.293244
35, 70, 71, -1 - -8, -57, -58, -14, 32.474746 - 0.314433
36, 72, 73, -1 - 21, -22, 14, 53, -79.308451 - 0.516089
37, 74, 75, -1 - 5, -3, 26, -5, -90.606403 - 0.417236
38, 76, 77, -1 - 3, 44, 33, -9, -48.612934 - 0.463369
39, 78, 79, -1 - -26, 19, 16, -43, 76.189459 - 0.571940
40, 80, 81, -1 - -28, 34, 37, 26, 13.968322 - 0.445523
41, 82, 83, -1 - -16, 3, 24, -16, -88.915677 - 0.397886
42, 84, 85, -1 - 11, 3, 54, 20, -77.703177 - 0.714623
43, 86, 87, -1 - 26, 6, -2, 17, -10.531938 - 0.705520
44, 88, 89, -1 - 5, 29, -3, -10, 57.481613 - 0.117140
45, 90, 91, -1 - -13, 34, -4, -5, 40.336314 - 0.244737
46, 92, 93, -1 - 5, -38, 6, -16, 40.861232 - 0.239285
47, 94, 95, -1 - -5, -12, -16, 13, -16.617328 - 0.171188
48, 96, 97, -1 - -9, -11, 53, -23, -39.652699 - 0.344898
49, 98, 99, -1 - -38, 5, 11, 44, 56.035035 - 0.462980
50, 100, 101, -1 - -9, 15, 4, 22, 76.415296 - 0.302484
51, 102, 103, -1 - 3, 11, 9, 20, 43.125706 - 0.481734
52, 104, 105, -1 - -44, -15, 39, 27, 17.581713 - 0.441039
53, 106, 107, -1 - 2, -21, 0, -59, -74.694052 - 0.445395
54, 108, 109, -1 - 19, -5, 42, -28, 17.014069 - 0.569658
55, 110, 111, -1 - 5, 20, -24, 48, -64.201788 - 0.477949
56, 112, 113, -1 - -13, 1, -24, -48, -2.383496 - 0.825427
57, 114, 115, -1 - 8, 58, -25, 4, 84.295175 - 0.893015
58, 116, 117, -1 - -26, 12, 12, -50, -47.898801 - 0.510892
59, 118, 119, -1 - 4, 0, -7, 23, -30.027161 - 0.692966
60, 120, 121, -1 - 1, 14, -1, 0, 51.658681 - 0.485158
61, 122, 123, -1 - 8, 2, 3, 18, -4.934843 - 0.145053
62, 124, 125, -1 - -4, -48, 19, -4, 19.467757 - 0.152342
63, 126, 127, -1 - 0, -6, -35, 21, -5.404828 - 0.289951
64, 128, 129, -1 - 2, -21, 4, 0, 12.222663 - 0.255362
65, 130, 131, -1 - -10, -45, 2, 21, 89.342936 - 0.677476
66, 132, 133, -1 - 44, 20, 9, -15, -84.386731 - 0.483951
67, 134, 135, -1 - 31, 2, 24, 50, -10.641804 - 0.455046
68, 136, 137, -1 - -31, -48, -26, 9, 54.142888 - 0.329889
69, 138, 139, -1 - -23, 18, 0, 0, 15.915403 - 0.145021
70, 140, 141, -1 - 1, 2, -15, 11, -55.021821 - 0.271919
71, 142, 143, -1 - 6, 1, -34, 6, 12.582781 - 0.427885
72, 144, 145, -1 - 9, -41, 32, 33, -26.712851 - 0.539821
73, 146, 147, -1 - 24, 17, -8, -19, -67.101047 - 0.775985
74, 148, 149, -1 - 27, 3, -22, 26, -81.530198 - 0.562457
75, 150, 151, -1 - 0, -1, -54, 8, -65.092929 - 0.436850
76, 152, 153, -1 - 10, -2, 43, -33, -23.795282 - 0.574666
77, 154, 155, -1 - 29, 2, 5, -13, 24.326304 - 0.296508
78, 156, 157, -1 - 13, 0, -7, 32, -42.332224 - 0.471298
79, 158, 159, -1 - 33, -20, -54, -18, 64.226203 - 0.415590
80, 160, 161, -1 - 30, 17, -6, -43, -99.566637 - 0.144355
81, 162, 163, -1 - -53, 27, -2, -18, 23.764763 - 0.616656
82, 164, 165, -1 - 51, 4, 15, 5, 84.154790 - 0.609821
83, 166, 167, -1 - -1, 21, 46, -21, -32.102420 - 0.312787
84, 168, 169, -1 - -41, 39, 24, -19, 49.516282 - 0.544621
85, 170, 171, -1 - 37, 18, 10, -18, 98.077334 - 0.781278
86, 172, 173, -1 - -53, 27, -2, -18, 23.764763 - 0.574234
87, 174, 175, -1 - 13, 5, -15, 38, -59.959716 - 0.686159
88, 176, 177, -1 - 13, -56, -8, -9, 65.221107 - 0.150756
89, 178, 179, -1 - -31, -7, -4, -9, 22.702719 - 0.148012
90, 180, 181, -1 - 11, -16, -24, 25, -70.195624 - 0.860129
91, 182, 183, -1 - -3, 18, -57, -14, 44.322031 - 0.159434
92, 184, 185, -1 - 40, -10, -10, -21, -55.528428 - 0.641760
93, 186, 187, -1 - 0, -14, 17, 37, -44.737083 - 0.216193
94, 188, 189, -1 - -41, 17, 1, -38, 60.264901 - 0.353625
95, 190, 191, -1 - -36, 31, 39, -40, 75.695059 - 0.177907
96, 192, 193, -1 - 31, -12, -23, 6, 7.260353 - 0.733236
97, 194, 195, -1 - 29, 2, 5, -13, 24.326304 - 0.169831
98, 196, 197, -1 - 0, -28, -50, -11, -8.206427 - 0.529361
99, 198, 199, -1 - -8, 27, 1, -42, -2.059999 - 0.048272
100, 200, 201, -1 - -34, 0, 9, 11, 37.943663 - 0.221744
101, 202, 203, -1 - -11, -12, -35, -38, -2.066103 - 0.524390
102, 204, 205, -1 - -41, -18, 1, 4, 85.369427 - 0.428403
103, 206, 207, -1 - 27, -2, 20, -34, -98.693808 - 0.754809
104, 208, 209, -1 - 2, -21, 4, 0, 12.222663 - 0.572155
105, 210, 211, -1 - -26, 36, -22, -51, -16.739402 - 0.533665
106, 212, 213, -1 - 10, 58, 2, 22, 1.950133 - 0.489696
107, 214, 215, -1 - -24, -10, 0, 44, 13.327433 - 0.361690
108, 216, 217, -1 - 12, -6, -4, 14, -54.289377 - 0.388483
109, 218, 219, -1 - -14, 24, 18, 15, 26.139103 - 0.593202
110, 220, 221, -1 - -10, 19, -1, 2, 65.648366 - 0.311349
111, 222, 223, -1 - 1, -10, -30, 23, -40.531632 - 0.620400
112, 224, 225, -1 - -23, -8, -49, 2, -60.087893 - 0.072124
113, 226, 227, -1 - -13, -56, -11, -7, 9.006012 - 0.149409
114, 228, 229, -1 - -13, 4, 21, 10, -52.793970 - 0.749404
115, 230, 231, -1 - -46, 6, 8, 24, 44.364757 - 0.900009
116, 232, 233, -1 - -9, -8, 3, 20, -9.335612 - 0.416616
117, 234, 235, -1 - 6, -5, -45, -33, -21.616260 - 0.462535
118, 236, 237, -1 - -2, -31, 13, 46, -2.560503 - 0.665076
119, 238, 239, -1 - -32, 22, -1, 23, 69.286172 - 0.122156
120, 240, 241, -1 - 2, -21, 0, -59, -74.694052 - 0.455581
121, 242, 243, -1 - 6, -46, 6, 24, 2.523881 - 0.888118
122, 244, 245, -1 - -42, -18, -26, 2, 25.663015 - 0.479210
123, 246, 247, -1 - -35, -8, 34, 7, 95.910520 - 0.082033
124, 248, 249, -1 - -17, -6, 27, -13, 89.873959 - 0.859776
125, 250, 251, -1 - -47, 11, -19, 11, 33.524583 - 0.121386
126, 252, 253, -1 - 28, -29, -23, -41, -98.608356 - 0.196673
127, 254, 255, -1 - 44, 9, 33, 47, -62.236396 - 0.888086
128, 256, 257, -1 - 1, 0, 27, -22, -29.233680 - 0.537608
129, 258, 259, -1 - 51, 10, 20, -34, -60.374767 - 0.199028
130, 260, 261, -1 - -30, -23, 9, -13, 4.928739 - 0.741782
131, 262, 263, -1 - 25, -9, 32, 2, 5.105747 - 0.830719
132, 264, 265, -1 - -19, 19, 55, 3, -49.626148 - 0.485353
133, 266, 267, -1 - 1, 31, -3, 3, 31.858272 - 0.433681
134, 268, 269, -1 - 1, 0, -52, 19, -6.833094 - 0.499067
135, 270, 271, -1 - 30, 14, 25, -21, -63.560900 - 0.517557
136, 272, 273, -1 - -53, -3, -27, -2, 26.938688 - 0.706553
137, 274, 275, -1 - -29, 5, -16, -16, -65.959655 - 0.364814
138, 276, 277, -1 - -45, 34, 1, 4, -33.732109 - 0.113044
139, 278, 279, -1 - 32, 20, -30, 35, -29.770806 - 0.684038
140, 280, 281, -1 - 38, 45, 2, -15, -8.987701 - 0.482776
141, 282, 283, -1 - 16, -26, -52, 28, 64.421522 - 0.171258
142, 284, 285, -1 - 18, 18, -30, 6, 9.897153 - 0.334037
143, 286, 287, -1 - 24, 52, -54, 23, 65.843684 - 0.416072
