Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
1, 2, 3, -1 - 6, -56, -58, 0, 31.272317 - 0.591886
2, 4, 5, -1 - 40, 3, 1, 0, 41.184729 - 0.600520
3, 6, 7, -1 - 2, -20, -11, 0, 86.736656 - 0.655239
4, 8, 9, -1 - -34, -1, 46, -14, 53.910947 - 0.505522
5, 10, 11, -1 - 1, 16, -47, -9, -63.621937 - 0.969338
6, 12, 13, -1 - -29, -20, -7, -33, -36.912137 - 0.697420
7, 14, 15, -1 - -4, 2, -42, -12, -26.371044 - 0.698873
8, 16, 17, -1 - 35, -12, -16, -37, 18.570513 - 0.266711
9, 18, 19, -1 - -29, -7, -32, 39, -70.641194 - 0.442100
10, 20, 21, -1 - 51, 3, -19, 53, 92.352062 - 0.026750
11, 22, 23, -1 - -42, -23, 46, 12, -58.098086 - 0.974030
12, 24, 25, -1 - 45, -20, -55, -20, 93.823054 - 0.784459
13, 26, 27, -1 - 18, -2, -25, -21, 11.502426 - 0.578348
14, 28, 29, -1 - 39, 23, 28, -20, -71.727653 - 0.903045
15, 30, 31, -1 - -8, -18, -31, 39, 98.370312 - 0.634460
16, 32, 33, -1 - 32, -28, -35, -28, 34.067812 - 0.042348
17, 34, 35, -1 - -49, -3, 22, 16, -89.086581 - 0.640821
18, 36, 37, -1 - -26, 44, 23, -10, 25.144200 - 0.044176
19, 38, 39, -1 - -29, 31, 49, -25, 27.616199 - 0.156499
20, 40, 41, -1 - -28, 33, 5, 0, 11.142308 - 0.742487
21, 42, 43, -1 - -8, 7, 3, 21, -55.565050 - 0.009954
22, 44, 45, -1 - 44, -14, 0, 0, 11.484115 - 0.875571
23, 46, 47, -1 - -8, 27, 1, -42, -2.059999 - 0.831406
24, 48, 49, -1 - 29, -41, -32, -21, 48.509171 - 0.578045
25, 50, 51, -1 - 38, 27, -14, -44, 12.356944 - 0.863434
26, 52, 53, -1 - -48, -33, 24, 1, -14.175848 - 0.265006
27, 54, 55, -1 - 52, 1, 6, -19, 54.991302 - 0.464657
28, 56, 57, -1 - 51, 1, 31, -12, -21.518601 - 0.407830
29, 58, 59, -1 - 24, 23, 44, 36, -26.480911 - 0.902068
30, 60, 61, -1 - 26, -52, -49, -21, 21.170690 - 0.928483
31, 62, 63, -1 - -8, 7, 3, -22, -32.316050 - 0.245720
32, 64, 65, -1 - -22, 53, -1, -13, -25.327311 - 0.014785
33, 66, 67, -1 - 1, -24, -45, -29, -30.600909 - 0.684370
34, 68, 69, -1 - 7, 17, 48, 8, 46.574297 - 0.347591
35, 70, 71, -1 - 0, -55, 46, -35, -85.839412 - 0.500141
36, 72, 73, -1 - 0, -55, 46, -35, -85.839412 - 0.994030
37, 74, 75, -1 - -30, -6, -6, -26, 51.438948 - 0.021799
38, 76, 77, -1 - -17, 56, -16, 13, 80.114139 - 0.534015
39, 78, 79, -1 - -14, -21, 52, -13, 71.288186 - 0.083497
40, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
41, 80, 81, -1 - 18, -9, -13, 1, -72.283090 - 1.000000
42, 82, 83, -1 - 18, -9, -13, 1, -72.283090 - 0.970951
43, 84, 85, -1 - 0, 7, 57, 3, 84.783471 - 0.003488
44, 86, 87, -1 - 44, 9, 33, 47, -62.236396 - 0.075065
45, 88, 89, -1 - 31, 6, 44, -39, 34.580523 - 0.910438
46, 90, 91, -1 - -50, -1, -15, 21, 24.332408 - 0.486963
47, 92, 93, -1 - -5, -9, -8, 52, 74.584185 - 0.985753
48, 94, 95, -1 - -8, -46, -36, 5, 31.919309 - 0.879529
49, 96, 97, -1 - -17, -15, -9, -33, -91.027558 - 0.087182
50, 98, 99, -1 - 53, 23, 33, 2, 89.422285 - 0.822675
51, 100, 101, -1 - 12, 1, 21, -10, -29.923399 - 0.841224
52, 102, 103, -1 - -52, 11, 5, -56, -99.420148 - 0.857222
53, 104, 105, -1 - -14, -7, 24, 0, 58.384960 - 0.075223
54, 106, 107, -1 - -8, -57, -58, -14, 32.474746 - 0.337435
55, 108, 109, -1 - 58, -8, 1, 4, 94.409009 - 0.819332
56, 110, 111, -1 - 13, -56, -8, -9, 65.221107 - 0.951976
57, 112, 113, -1 - -22, -36, 14, 50, -98.278756 - 0.086516
58, 114, 115, -1 - 28, -4, 43, 2, -84.344005 - 0.117241
59, 116, 117, -1 - 23, -21, -15, -25, 35.764641 - 0.999818
60, 118, 119, -1 - -9, -11, 9, 0, 79.241310 - 0.563469
61, 120, 121, -1 - 38, -30, 36, -17, 34.128849 - 0.918876
62, 122, 123, -1 - -18, 35, 14, -40, -25.174718 - 0.071622
63, 124, 125, -1 - -44, -20, 28, -27, -88.421278 - 0.358518
64, 126, 127, -1 - 46, 3, 7, -52, -84.398938 - 0.286344
65, 128, 129, -1 - 33, -20, -54, -18, 64.226203 - 0.002103
66, 130, 131, -1 - -15, -48, 35, -16, 26.859340 - 0.085144
67, 132, 133, -1 - -8, -31, 11, 19, 89.434492 - 0.945434
68, 134, 135, -1 - 42, -23, 45, 7, 91.808832 - 0.402483
69, 136, 137, -1 - -2, 14, -56, -3, 15.640736 - 0.051891
70, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
71, 138, 139, -1 - 25, -9, 32, 2, 5.105747 - 0.091918
72, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
73, 140, 141, -1 - -58, -5, -9, -5, 14.590899 - 0.468996
74, 142, 143, -1 - 10, -4, 6, 2, -55.247658 - 0.004695
75, 144, 145, -1 - 41, -11, -29, -5, 92.913602 - 0.288221
76, 146, 147, -1 - 6, 2, -17, 57, -72.069460 - 0.960485
77, 148, 149, -1 - -22, 40, 48, -24, 70.091861 - 0.088413
78, 150, 151, -1 - 46, -35, -25, -43, -52.006592 - 0.112431
79, 152, 153, -1 - 50, -32, 24, -32, 4.745628 - 0.033491
80, 154, 155, -1 - -32, 22, -1, 23, 69.286172 - 1.000000
81, 0, 0, 3 - 0, 0, 0, 0, 0.000000 - 0.000000
82, 0, 0, 4 - 0, 0, 0, 0, 0.000000 - 0.000000
83, 0, 0, 5 - 0, 0, 0, 0, 0.000000 - 0.000000
84, 156, 157, -1 - -4, 8, 22, 47, -64.079714 - 0.002516
85, 158, 159, -1 - 54, 18, 45, 4, 50.401318 - 0.811278
86, 160, 161, -1 - -3, -12, -36, -14, 9.720145 - 0.828170
87, 162, 163, -1 - -20, 11, 35, -10, -91.998047 - 0.007305
88, 164, 165, -1 - 13, -4, 24, -43, 44.859157 - 0.226540
89, 166, 167, -1 - 20, 46, 25, 3, 77.550584 - 0.396180
90, 168, 169, -1 - 17, -1, 1, 1, 48.844874 - 0.943466
91, 170, 171, -1 - -5, -8, 21, -17, 83.507797 - 0.079138
92, 172, 173, -1 - -13, -56, -11, -7, 9.006012 - 0.759359
93, 174, 175, -1 - 13, -8, -9, -8, -44.969024 - 0.061865
94, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
95, 176, 177, -1 - 18, -9, -13, 1, -72.283090 - 0.031172
96, 178, 179, -1 - -45, -13, -34, -4, -1.565600 - 0.065817
97, 180, 181, -1 - 13, -56, -8, -9, 65.221107 - 0.863341
98, 182, 183, -1 - 34, -3, 31, -39, -69.200720 - 0.456668
99, 184, 185, -1 - -31, 37, 28, 36, 45.139927 - 0.097778
100, 186, 187, -1 - 52, 27, 27, -45, 41.319010 - 0.790949
101, 188, 189, -1 - -41, 39, 24, -19, 49.516282 - 0.317872
102, 190, 191, -1 - -39, 42, 36, 27, 57.011628 - 0.907941
103, 192, 193, -1 - -47, -18, 0, 1, -12.613300 - 0.853215
