Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
1, 2, 3, -1 - -31, -3, 3, 2, 92.889187 - 0.264156
2, 4, 5, -1 - 0, 1, 1, -13, -15.475936 - 0.214126
3, 6, 7, -1 - -43, 6, 51, -4, 94.738609 - 0.382808
4, 8, 9, -1 - 5, 9, 0, 0, 76.732688 - 0.420977
5, 10, 11, -1 - 5, -1, 6, -7, -25.833918 - 0.233050
6, 12, 13, -1 - -13, 54, 42, -1, -91.119114 - 0.392091
7, 14, 15, -1 - 2, -22, 4, -10, -34.018983 - 0.290780
8, 16, 17, -1 - 32, -19, 57, 15, 39.109470 - 0.268841
9, 18, 19, -1 - 17, -1, 1, 1, 48.844874 - 0.665199
10, 20, 21, -1 - 10, 21, 0, 0, 40.208136 - 0.664259
11, 22, 23, -1 - 1, 14, -1, 0, 51.658681 - 0.147863
12, 24, 25, -1 - -10, -45, 2, 21, 89.342936 - 0.349356
13, 26, 27, -1 - -22, 20, 0, -41, 89.275796 - 0.376723
14, 28, 29, -1 - 9, -41, 32, 33, -26.712851 - 0.896845
15, 30, 31, -1 - -27, 11, 13, 0, 85.937071 - 0.276673
16, 32, 33, -1 - 41, -8, -44, 0, 83.892331 - 0.287271
17, 34, 35, -1 - -40, 39, 0, -16, -73.351238 - 0.371759
18, 36, 37, -1 - 5, 20, -24, 48, -64.201788 - 0.560924
19, 38, 39, -1 - 11, 40, -5, -42, 6.448561 - 0.411262
20, 40, 41, -1 - 23, -39, 3, 1, 68.724631 - 0.349314
21, 42, 43, -1 - -26, 18, 13, 55, -60.216071 - 0.702873
22, 44, 45, -1 - -44, -25, -2, -31, -98.480178 - 0.140631
23, 46, 47, -1 - 2, -48, -23, 35, -38.169500 - 0.272124
24, 48, 49, -1 - -14, -17, 11, -10, 98.315378 - 0.346550
25, 50, 51, -1 - 12, -29, -33, 5, 30.729087 - 0.313406
26, 52, 53, -1 - 28, 14, 0, 0, 36.210211 - 0.404638
27, 54, 55, -1 - -25, 2, -30, -43, 94.311350 - 0.484694
28, 56, 57, -1 - 0, 0, -21, -42, -46.049379 - 0.872269
29, 58, 59, -1 - -39, -38, -1, -11, 69.408246 - 0.790667
30, 60, 61, -1 - 1, 2, 42, 19, -28.049562 - 0.380772
31, 62, 63, -1 - 12, 50, -22, -18, 29.337443 - 0.321258
32, 64, 65, -1 - -49, 15, -12, -56, -32.053591 - 0.318565
33, 66, 67, -1 - -14, 40, 0, 0, 26.902066 - 0.536207
34, 68, 69, -1 - 7, -54, -41, -15, 37.076937 - 0.296164
35, 70, 71, -1 - -8, -57, -58, -14, 32.474746 - 0.313647
36, 72, 73, -1 - 21, -22, 14, 53, -79.308451 - 0.519961
37, 74, 75, -1 - 5, -3, 26, -5, -90.606403 - 0.442936
38, 76, 77, -1 - 3, 44, 33, -9, -48.612934 - 0.454371
39, 78, 79, -1 - -26, 19, 16, -43, 76.189459 - 0.592507
40, 80, 81, -1 - -28, 34, 37, 26, 13.968322 - 0.446335
41, 82, 83, -1 - -16, 3, 24, -16, -88.915677 - 0.373795
42, 84, 85, -1 - 15, 0, -14, -56, -62.303537 - 0.703081
43, 86, 87, -1 - 26, 6, -2, 17, -10.531938 - 0.706764
44, 88, 89, -1 - -54, 20, -28, 0, 88.781396 - 0.265380
45, 90, 91, -1 - -32, -49, 15, 34, -47.776727 - 0.127015
46, 92, 93, -1 - 28, -7, 25, -21, -44.413587 - 0.172539
47, 94, 95, -1 - 1, -5, -47, 7, -62.834559 - 0.432170
48, 96, 97, -1 - -9, -11, 53, -23, -39.652699 - 0.348752
49, 98, 99, -1 - -38, 5, 11, 44, 56.035035 - 0.487343
50, 100, 101, -1 - -9, 15, 4, 22, 76.415296 - 0.307067
51, 102, 103, -1 - 24, -7, -2, 13, 19.589831 - 0.469804
52, 104, 105, -1 - -44, -15, 39, 27, 17.581713 - 0.462892
53, 106, 107, -1 - 2, -21, 0, -59, -74.694052 - 0.434206
54, 108, 109, -1 - -10, -54, 0, 0, 76.097903 - 0.472465
55, 110, 111, -1 - 19, -5, 42, -28, 17.014069 - 0.620699
56, 112, 113, -1 - -12, 0, 9, 37, -90.893277 - 0.859252
57, 114, 115, -1 - -22, 4, -18, 16, -73.070467 - 0.885277
58, 116, 117, -1 - 4, 0, -7, 23, -30.027161 - 0.681535
59, 118, 119, -1 - 17, -56, -26, 9, 1.504563 - 0.556686
60, 120, 121, -1 - 1, 14, -1, 0, 51.658681 - 0.511559
61, 122, 123, -1 - 8, 2, 3, 18, -4.934843 - 0.153911
62, 124, 125, -1 - -4, -48, 19, -4, 19.467757 - 0.155165
63, 126, 127, -1 - 0, -6, -35, 21, -5.404828 - 0.275133
64, 128, 129, -1 - 2, -21, 4, 0, 12.222663 - 0.237079
65, 130, 131, -1 - -10, -45, 2, 21, 89.342936 - 0.651311
66, 132, 133, -1 - 44, 20, 9, -15, -84.386731 - 0.472407
67, 134, 135, -1 - 31, 2, 24, 50, -10.641804 - 0.442671
68, 136, 137, -1 - -31, -48, -26, 9, 54.142888 - 0.339048
69, 138, 139, -1 - -16, -3, -33, -20, -24.759667 - 0.154760
70, 140, 141, -1 - 1, 2, -15, 11, -55.021821 - 0.258035
71, 142, 143, -1 - -48, 12, -2, 1, -2.273629 - 0.426743
72, 144, 145, -1 - 4, 39, -2, 0, 29.209265 - 0.542360
73, 146, 147, -1 - 24, 17, -8, -19, -67.101047 - 0.774281
74, 148, 149, -1 - 27, 3, -22, 26, -81.530198 - 0.558401
75, 150, 151, -1 - 37, -46, -50, 13, 24.576556 - 0.423018
76, 152, 153, -1 - 28, -7, 10, -2, 61.601611 - 0.610750
77, 154, 155, -1 - 29, 2, 5, -13, 24.326304 - 0.325334
78, 156, 157, -1 - -15, 36, 12, -1, 86.169012 - 0.471176
79, 158, 159, -1 - 33, -20, -54, -18, 64.226203 - 0.347063
80, 160, 161, -1 - 48, -10, 30, 17, 27.054659 - 0.156944
81, 162, 163, -1 - -40, -22, -42, -41, -54.667806 - 0.641316
82, 164, 165, -1 - 51, 4, 15, 5, 84.154790 - 0.630421
83, 166, 167, -1 - -1, 21, 46, -21, -32.102420 - 0.331826
84, 168, 169, -1 - -16, 3, 24, -16, -88.915677 - 0.537269
85, 170, 171, -1 - 55, 20, 9, -16, 58.244575 - 0.874629
86, 172, 173, -1 - 30, 49, -50, 27, 85.509812 - 0.557786
87, 174, 175, -1 - 13, 5, -15, 38, -59.959716 - 0.678008
88, 176, 177, -1 - 5, -38, 6, -16, 40.861232 - 0.282443
89, 178, 179, -1 - 7, -3, -1, -10, -16.586810 - 0.286422
90, 180, 181, -1 - 17, -37, -7, -17, 87.121189 - 0.307852
91, 182, 183, -1 - 8, -46, -59, 3, 99.114963 - 0.084901
92, 184, 185, -1 - 1, -22, -37, -28, 98.382519 - 0.419253
93, 186, 187, -1 - -17, 16, 28, -7, 65.440840 - 0.124686
94, 188, 189, -1 - -7, 17, -52, -8, 34.098331 - 0.445263
95, 190, 191, -1 - 11, 28, 54, -14, 98.040712 - 0.526476
96, 192, 193, -1 - 31, -12, -23, 6, 7.260353 - 0.786264
97, 194, 195, -1 - 4, -15, -27, 7, -38.712729 - 0.149504
98, 196, 197, -1 - 0, -28, -50, -11, -8.206427 - 0.698700
99, 198, 199, -1 - 0, -52, 17, 47, 74.169134 - 0.036395
100, 200, 201, -1 - 10, 14, -25, -49, -29.807428 - 0.208581
101, 202, 203, -1 - -11, -12, -35, -38, -2.066103 - 0.520694
102, 204, 205, -1 - 27, -2, 20, -34, -98.693808 - 0.649739
103, 206, 207, -1 - -41, -18, 1, 4, 85.369427 - 0.356216
104, 208, 209, -1 - -2, -31, 13, 46, -2.560503 - 0.557713
105, 210, 211, -1 - -26, 36, -22, -51, -16.739402 - 0.539350
106, 212, 213, -1 - 10, 58, 2, 22, 1.950133 - 0.421832
107, 214, 215, -1 - -24, -10, 0, 44, 13.327433 - 0.361914
108, 216, 217, -1 - -26, -14, 12, 15, -81.780450 - 0.470038
109, 218, 219, -1 - 2, -22, 4, -10, -34.018983 - 0.413460
110, 220, 221, -1 - -5, -32, 2, 36, -78.991058 - 0.493666
111, 222, 223, -1 - -14, 24, 18, 15, 26.139103 - 0.596167
112, 224, 225, -1 - -54, 2, -35, -30, 70.860927 - 0.133070
113, 226, 227, -1 - 38, -16, -11, -8, -23.734245 - 0.100235
114, 228, 229, -1 - 1, 25, -11, -57, -19.626453 - 0.873827
115, 230, 231, -1 - -13, 4, 21, 10, -52.793970 - 0.742478
116, 232, 233, -1 - 10, 58, 2, 22, 1.950133 - 0.800392
117, 234, 235, -1 - -9, 0, -18, -2, -13.486129 - 0.053044
118, 236, 237, -1 - 7, 42, -1, -5, 0.527970 - 0.331010
