Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
1, 2, 3, -1 - -31, -3, 3, 2, 92.889187 - 0.258880
2, 4, 5, -1 - 0, 1, 1, -13, -15.475936 - 0.214741
3, 6, 7, -1 - -43, 6, 51, -4, 94.738609 - 0.385913
4, 8, 9, -1 - 5, 9, 0, 0, 76.732688 - 0.421650
5, 10, 11, -1 - 5, -1, 6, -7, -25.833918 - 0.229458
6, 12, 13, -1 - -13, 54, 42, -1, -91.119114 - 0.387358
7, 14, 15, -1 - 2, -22, 4, -10, -34.018983 - 0.283725
8, 16, 17, -1 - 32, -19, 57, 15, 39.109470 - 0.271213
9, 18, 19, -1 - 17, -1, 1, 1, 48.844874 - 0.665285
10, 20, 21, -1 - 10, 21, 0, 0, 40.208136 - 0.671618
11, 22, 23, -1 - 6, -56, -58, 0, 31.272317 - 0.145635
12, 24, 25, -1 - -10, -45, 2, 21, 89.342936 - 0.344812
13, 26, 27, -1 - 24, 41, -4, -39, 42.191839 - 0.379760
14, 28, 29, -1 - 9, -41, 32, 33, -26.712851 - 0.887738
15, 30, 31, -1 - -27, 11, 13, 0, 85.937071 - 0.276233
16, 32, 33, -1 - 41, -8, -44, 0, 83.892331 - 0.293527
17, 34, 35, -1 - -40, 39, 0, -16, -73.351238 - 0.362778
18, 36, 37, -1 - 5, 20, -24, 48, -64.201788 - 0.571324
19, 38, 39, -1 - 11, 40, -5, -42, 6.448561 - 0.410729
20, 40, 41, -1 - 17, -37, -7, -17, 87.121189 - 0.363601
21, 42, 43, -1 - -26, 18, 13, 55, -60.216071 - 0.704185
22, 44, 45, -1 - 1, 14, -1, 0, 51.658681 - 0.171086
23, 46, 47, -1 - -44, -25, -2, -31, -98.480178 - 0.161743
24, 48, 49, -1 - -14, -17, 11, -10, 98.315378 - 0.337081
25, 50, 51, -1 - 12, -29, -33, 5, 30.729087 - 0.308043
26, 52, 53, -1 - 28, 14, 0, 0, 36.210211 - 0.424867
27, 54, 55, -1 - -10, -54, 0, 0, 76.097903 - 0.493337
28, 56, 57, -1 - 0, 0, -21, -42, -46.049379 - 0.880740
29, 58, 59, -1 - 0, -11, -3, -49, -62.443922 - 0.793949
30, 60, 61, -1 - 1, 2, 42, 19, -28.049562 - 0.369096
31, 62, 63, -1 - 12, 50, -22, -18, 29.337443 - 0.323609
32, 64, 65, -1 - -49, 15, -12, -56, -32.053591 - 0.318589
33, 66, 67, -1 - -14, 40, 0, 0, 26.902066 - 0.532441
34, 68, 69, -1 - 7, -54, -41, -15, 37.076937 - 0.290826
35, 70, 71, -1 - -8, -57, -58, -14, 32.474746 - 0.314112
36, 72, 73, -1 - 21, -22, 14, 53, -79.308451 - 0.485280
37, 74, 75, -1 - 31, -2, -17, -2, 25.778985 - 0.430468
38, 76, 77, -1 - 3, 44, 33, -9, -48.612934 - 0.462486
39, 78, 79, -1 - -26, 19, 16, -43, 76.189459 - 0.594236
40, 80, 81, -1 - 37, 27, -26, -21, 89.593188 - 0.410700
41, 82, 83, -1 - -16, 3, 24, -16, -88.915677 - 0.370585
42, 84, 85, -1 - 11, 3, 54, 20, -77.703177 - 0.724544
43, 86, 87, -1 - 26, 6, -2, 17, -10.531938 - 0.694152
44, 88, 89, -1 - 5, 29, -3, -10, 57.481613 - 0.119577
45, 90, 91, -1 - -44, 36, 0, -5, 79.528184 - 0.229554
46, 92, 93, -1 - 5, -38, 6, -16, 40.861232 - 0.235989
47, 94, 95, -1 - -5, -12, -16, 13, -16.617328 - 0.176647
48, 96, 97, -1 - -9, -11, 53, -23, -39.652699 - 0.339908
49, 98, 99, -1 - 12, 15, 56, -10, -18.521683 - 0.451885
50, 100, 101, -1 - 0, 0, -19, 15, -33.115635 - 0.294629
51, 102, 103, -1 - 3, 11, 9, 20, 43.125706 - 0.468384
52, 104, 105, -1 - -44, -15, 39, 27, 17.581713 - 0.438619
53, 106, 107, -1 - 2, -21, 0, -59, -74.694052 - 0.451123
54, 108, 109, -1 - 19, -5, 42, -28, 17.014069 - 0.581081
55, 110, 111, -1 - 5, 20, -24, 48, -64.201788 - 0.476073
56, 112, 113, -1 - -37, -9, -13, 0, 54.325999 - 0.825339
57, 114, 115, -1 - 8, 58, -25, 4, 84.295175 - 0.865652
58, 116, 117, -1 - -11, -31, -27, 10, 22.714927 - 0.530781
59, 118, 119, -1 - 4, 0, -7, 23, -30.027161 - 0.696185
60, 120, 121, -1 - -50, 6, -2, 13, 55.485702 - 0.509495
61, 122, 123, -1 - 8, 2, 3, 18, -4.934843 - 0.152850
62, 124, 125, -1 - -4, -48, 19, -4, 19.467757 - 0.149155
63, 126, 127, -1 - 0, -6, -35, 21, -5.404828 - 0.280934
64, 128, 129, -1 - 2, -21, 4, 0, 12.222663 - 0.257859
65, 130, 131, -1 - -10, -45, 2, 21, 89.342936 - 0.691179
66, 132, 133, -1 - 44, 20, 9, -15, -84.386731 - 0.453594
67, 134, 135, -1 - 31, 2, 24, 50, -10.641804 - 0.461080
68, 136, 137, -1 - -31, -48, -26, 9, 54.142888 - 0.345343
69, 138, 139, -1 - -23, 18, 0, 0, 15.915403 - 0.153385
70, 140, 141, -1 - 41, 15, -2, 13, -11.563463 - 0.272273
71, 142, 143, -1 - -48, 12, -2, 1, -2.273629 - 0.426837
72, 144, 145, -1 - 4, 39, -2, 0, 29.209265 - 0.526696
73, 146, 147, -1 - 24, 17, -8, -19, -67.101047 - 0.770075
74, 148, 149, -1 - 0, -1, -54, 8, -65.092929 - 0.404241
75, 150, 151, -1 - -12, 19, 16, 17, -11.435286 - 0.433713
76, 152, 153, -1 - 10, -2, 43, -33, -23.795282 - 0.583183
77, 154, 155, -1 - -8, 20, 9, 19, -97.839290 - 0.306955
78, 156, 157, -1 - -15, 36, 12, -1, 86.169012 - 0.448568
79, 158, 159, -1 - 7, -21, 7, -11, -22.476882 - 0.331490
80, 160, 161, -1 - 23, 42, 54, -17, 19.296854 - 0.619200
