Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
1, 2, 3, -1 - 6, -56, -58, 0, 31.272317 - 0.592889
2, 4, 5, -1 - 40, 3, 1, 0, 41.184729 - 0.600939
3, 6, 7, -1 - 2, -20, -11, 0, 86.736656 - 0.655749
4, 8, 9, -1 - -34, -1, 46, -14, 53.910947 - 0.501912
5, 10, 11, -1 - 1, 16, -47, -9, -63.621937 - 0.969523
6, 12, 13, -1 - -29, -20, -7, -33, -36.912137 - 0.704603
7, 14, 15, -1 - -4, 2, -42, -12, -26.371044 - 0.694537
8, 16, 17, -1 - 35, -12, -16, -37, 18.570513 - 0.267878
9, 18, 19, -1 - -29, -7, -32, 39, -70.641194 - 0.440041
10, 20, 21, -1 - 51, 3, -19, 53, 92.352062 - 0.020020
11, 22, 23, -1 - -42, -23, 46, 12, -58.098086 - 0.976465
12, 24, 25, -1 - 45, -20, -55, -20, 93.823054 - 0.789717
13, 26, 27, -1 - 18, -2, -25, -21, 11.502426 - 0.586379
14, 28, 29, -1 - 39, 23, 28, -20, -71.727653 - 0.905971
15, 30, 31, -1 - -8, -18, -31, 39, 98.370312 - 0.641592
16, 32, 33, -1 - 32, -28, -35, -28, 34.067812 - 0.045708
17, 34, 35, -1 - -49, -3, 22, 16, -89.086581 - 0.624892
18, 36, 37, -1 - -26, 44, 23, -10, 25.144200 - 0.038665
19, 38, 39, -1 - -29, 31, 49, -25, 27.616199 - 0.158038
20, 40, 41, -1 - -22, -24, 3, -6, 84.496597 - 0.890492
21, 42, 43, -1 - -8, 7, 3, 21, -55.565050 - 0.009574
22, 44, 45, -1 - 44, -15, -35, -30, 93.139439 - 0.861896
23, 46, 47, -1 - -8, 27, 1, -42, -2.059999 - 0.826425
24, 48, 49, -1 - 29, -41, -32, -21, 48.509171 - 0.547340
25, 50, 51, -1 - 22, 22, 25, -53, -24.961089 - 0.862879
26, 52, 53, -1 - 7, 2, -47, -13, 12.137211 - 0.265349
27, 54, 55, -1 - 52, 1, 6, -19, 54.991302 - 0.465860
28, 56, 57, -1 - 51, 1, 31, -12, -21.518601 - 0.395998
29, 58, 59, -1 - 24, 23, 44, 36, -26.480911 - 0.906760
30, 60, 61, -1 - 26, -52, -49, -21, 21.170690 - 0.930245
31, 62, 63, -1 - -8, 7, 3, -22, -32.316050 - 0.252182
32, 64, 65, -1 - -22, 53, -1, -13, -25.327311 - 0.014045
33, 66, 67, -1 - -9, -28, 2, -14, 47.758415 - 0.727396
34, 68, 69, -1 - 7, 17, 48, 8, 46.574297 - 0.382761
35, 70, 71, -1 - 0, -55, 46, -35, -85.839412 - 0.500674
36, 72, 73, -1 - 0, -55, 46, -35, -85.839412 - 0.899744
37, 74, 75, -1 - -30, -6, -6, -26, 51.438948 - 0.025019
38, 76, 77, -1 - -17, 56, -16, 13, 80.114139 - 0.477356
39, 78, 79, -1 - -14, -21, 52, -13, 71.288186 - 0.085302
40, 80, 81, -1 - 38, 45, 2, -15, -8.987701 - 1.000000
41, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
42, 82, 83, -1 - 18, -9, -13, 1, -72.283090 - 0.970951
43, 84, 85, -1 - -4, 9, -13, -52, -18.033387 - 0.006677
44, 86, 87, -1 - -39, -21, -30, -30, -13.418989 - 0.208619
45, 88, 89, -1 - 14, 3, -10, 12, -51.701407 - 0.889217
46, 90, 91, -1 - -50, -1, -15, 21, 24.332408 - 0.483826
47, 92, 93, -1 - -5, -9, -8, 52, 74.584185 - 0.988514
48, 94, 95, -1 - -8, -46, -36, 5, 31.919309 - 0.859276
49, 96, 97, -1 - -17, -15, -9, -33, -91.027558 - 0.103151
50, 98, 99, -1 - 53, -12, 32, -44, -83.989990 - 0.067187
51, 100, 101, -1 - -7, 43, -2, -45, 73.100986 - 0.999998
52, 102, 103, -1 - -4, -35, -34, -40, 81.334880 - 0.080643
53, 104, 105, -1 - -41, 19, 19, 39, -26.529740 - 0.909300
54, 106, 107, -1 - -8, -57, -58, -14, 32.474746 - 0.320772
55, 108, 109, -1 - 58, -8, 1, 4, 94.409009 - 0.804097
56, 110, 111, -1 - 13, -56, -8, -9, 65.221107 - 0.969723
57, 112, 113, -1 - -22, -36, 14, 50, -98.278756 - 0.091007
58, 114, 115, -1 - 28, -4, 43, 2, -84.344005 - 0.133641
59, 116, 117, -1 - -17, -23, -20, -45, -17.307047 - 0.999994
60, 118, 119, -1 - -9, -19, -1, -7, -81.340983 - 0.534052
61, 120, 121, -1 - 38, -30, 36, -17, 34.128849 - 0.952174
62, 122, 123, -1 - -18, 35, 14, -40, -25.174718 - 0.065819
63, 124, 125, -1 - -44, -20, 28, -27, -88.421278 - 0.395916
64, 126, 127, -1 - 46, 3, 7, -52, -84.398938 - 0.276393
65, 128, 129, -1 - 30, -4, 24, -13, 51.371807 - 0.001997
66, 130, 131, -1 - -15, -48, 35, -16, 26.859340 - 0.523231
67, 132, 133, -1 - -22, -28, -17, 5, -2.255318 - 0.459315
68, 134, 135, -1 - 44, 9, 33, 47, -62.236396 - 0.373491
69, 136, 137, -1 - -43, -14, 43, -16, -19.919431 - 0.056809
70, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
71, 138, 139, -1 - -12, -13, 23, -11, 36.533708 - 0.091350
72, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
73, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
74, 140, 141, -1 - 41, -11, -29, -5, 92.913602 - 0.003126
75, 142, 143, -1 - 41, -11, -29, -5, 92.913602 - 0.317579
76, 144, 145, -1 - -1, -54, 22, -10, 69.042024 - 0.976798
77, 146, 147, -1 - -9, -49, 46, -23, 13.791314 - 0.089335
78, 148, 149, -1 - 50, -30, 12, -58, -25.333415 - 0.109013
79, 150, 151, -1 - 50, -32, 24, -32, 4.745628 - 0.033100
80, 152, 153, -1 - 18, -9, -13, 1, -72.283090 - 1.000000
81, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
82, 0, 0, 4 - 0, 0, 0, 0, 0.000000 - 0.000000
83, 0, 0, 5 - 0, 0, 0, 0, 0.000000 - 0.000000
84, 154, 155, -1 - 55, 3, -24, -36, -41.489914 - 0.003667
85, 0, 0, 4 - 0, 0, 0, 0, 0.000000 - 0.000000
86, 156, 157, -1 - 18, -9, -13, 1, -72.283090 - 0.122292
87, 158, 159, -1 - 44, 9, 33, 47, -62.236396 - 0.048113
88, 160, 161, -1 - 47, 15, 45, -18, 48.710593 - 0.088375
89, 162, 163, -1 - 49, -21, 18, -46, 42.863247 - 0.301666
90, 164, 165, -1 - 17, -1, 1, 1, 48.844874 - 0.925565
91, 166, 167, -1 - 28, -24, 22, -16, 65.276040 - 0.081463
92, 168, 169, -1 - -13, -56, -11, -7, 9.006012 - 0.792972
93, 170, 171, -1 - 14, -6, 14, 28, -26.566362 - 0.053039
94, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
95, 172, 173, -1 - 18, -9, -13, 1, -72.283090 - 0.034176
96, 174, 175, -1 - -45, -13, -34, -4, -1.565600 - 0.068822
97, 176, 177, -1 - 15, -23, -26, -47, -81.188391 - 0.839308
98, 178, 179, -1 - -6, -28, 0, 0, -29.728080 - 0.337290
99, 180, 181, -1 - 7, 7, 57, -3, 76.940214 - 0.030818
100, 182, 183, -1 - 21, -22, 14, 53, -79.308451 - 0.467107
101, 184, 185, -1 - 23, -21, -15, -25, 35.764641 - 0.854286
102, 186, 187, -1 - -29, -5, 17, -3, -31.076998 - 0.046220
103, 188, 189, -1 - -8, -42, -9, -9, 99.871822 - 0.894955
104, 190, 191, -1 - -9, -6, -5, 58, -41.966002 - 0.942585
105, 192, 193, -1 - -47, -18, 0, 1, -12.613300 - 0.868683
106, 194, 195, -1 - -8, -51, 23, -28, 73.491623 - 0.751820
107, 196, 197, -1 - -24, -36, 5, -55, -43.211158 - 0.149067
108, 198, 199, -1 - 7, -54, -41, -15, 37.076937 - 0.787150
109, 200, 201, -1 - 12, -52, 7, 24, 96.429334 - 0.680156
110, 202, 203, -1 - -45, -13, -22, 51, -28.250984 - 0.217836
111, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
112, 204, 205, -1 - -5, 2, -22, -37, 16.067995 - 0.844325
113, 206, 207, -1 - -55, 5, 40, 21, -48.448134 - 0.019118
114, 208, 209, -1 - 1, -8, 0, 12, 6.967376 - 0.384312
115, 210, 211, -1 - -46, -33, 0, 16, -77.623829 - 0.019152
116, 212, 213, -1 - 3, -25, -5, -4, 97.283853 - 0.617836
117, 214, 215, -1 - -19, -17, 12, 0, 46.525468 - 0.209596
118, 216, 217, -1 - -39, -21, -30, -30, -13.418989 - 0.034811
119, 218, 219, -1 - -26, 3, -10, -22, -58.983123 - 0.133078
120, 220, 221, -1 - -39, -21, -30, -30, -13.418989 - 0.640944
121, 222, 223, -1 - -27, -15, 12, -43, -90.673544 - 0.059364
122, 224, 225, -1 - -9, 9, 21, -52, -6.521805 - 0.026650
123, 226, 227, -1 - 12, 15, 56, -10, -18.521683 - 0.550984
124, 228, 229, -1 - 17, -1, 1, 1, 48.844874 - 0.987693
125, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
126, 230, 231, -1 - 27, 17, 14, 28, 49.656667 - 0.138866
127, 0, 0, 3 - 0, 0, 0, 0, 0.000000 - 0.000000
128, 232, 233, -1 - -14, -38, 29, 1, -28.476821 - 0.000521
129, 234, 235, -1 - 20, -12, -31, -50, 6.796472 - 0.044330
130, 236, 237, -1 - 45, 1, 30, 26, -23.020112 - 0.999198
131, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
132, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
133, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
134, 238, 239, -1 - -36, -44, -2, -11, 41.471603 - 0.539713
135, 240, 241, -1 - 40, 42, 46, 0, 86.034730 - 0.210842
136, 242, 243, -1 - -13, -15, 38, -35, -78.191473 - 0.020476
137, 244, 245, -1 - 44, 24, 39, -42, 31.778924 - 0.393852
138, 246, 247, -1 - 21, -10, 19, 0, -61.919004 - 0.022616
139, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
140, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
141, 248, 249, -1 - -16, -21, -23, -32, -51.670888 - 0.081105
142, 250, 251, -1 - 35, -27, -29, 0, -70.488601 - 0.155163
