Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
1, 2, 3, -1 - 6, -56, -58, 0, 31.272317 - 0.593735
2, 4, 5, -1 - 40, 3, 1, 0, 41.184729 - 0.605418
3, 6, 7, -1 - 2, -20, -11, 0, 86.736656 - 0.656915
4, 8, 9, -1 - -34, -1, 46, -14, 53.910947 - 0.506585
5, 10, 11, -1 - 1, 16, -47, -9, -63.621937 - 0.970684
6, 12, 13, -1 - -29, -20, -7, -33, -36.912137 - 0.702969
7, 14, 15, -1 - -4, 2, -42, -12, -26.371044 - 0.704545
8, 16, 17, -1 - 35, -12, -16, -37, 18.570513 - 0.272883
9, 18, 19, -1 - -29, -7, -32, 39, -70.641194 - 0.442445
10, 20, 21, -1 - 51, 3, -19, 53, 92.352062 - 0.034402
11, 22, 23, -1 - -42, -23, 46, 12, -58.098086 - 0.974365
12, 24, 25, -1 - 45, -20, -55, -20, 93.823054 - 0.789400
13, 26, 27, -1 - 18, -2, -25, -21, 11.502426 - 0.575589
14, 28, 29, -1 - 39, 23, 28, -20, -71.727653 - 0.913483
15, 30, 31, -1 - -8, -18, -31, 39, 98.370312 - 0.632912
16, 32, 33, -1 - 32, -28, -35, -28, 34.067812 - 0.045013
17, 34, 35, -1 - -49, -3, 22, 16, -89.086581 - 0.600411
18, 36, 37, -1 - -26, 44, 23, -10, 25.144200 - 0.042221
19, 38, 39, -1 - -29, 31, 49, -25, 27.616199 - 0.161918
20, 40, 41, -1 - -28, 33, 5, 0, 11.142308 - 0.574636
21, 42, 43, -1 - -8, 7, 3, 21, -55.565050 - 0.008124
22, 44, 45, -1 - 44, -14, 0, 0, 11.484115 - 0.871678
23, 46, 47, -1 - -8, 27, 1, -42, -2.059999 - 0.825089
24, 48, 49, -1 - 29, -41, -32, -21, 48.509171 - 0.555493
25, 50, 51, -1 - 38, 27, -14, -44, 12.356944 - 0.862686
26, 52, 53, -1 - 7, 2, -47, -13, 12.137211 - 0.271990
27, 54, 55, -1 - 52, 1, 6, -19, 54.991302 - 0.477597
28, 56, 57, -1 - 51, 1, 31, -12, -21.518601 - 0.390343
29, 58, 59, -1 - 24, 23, 44, 36, -26.480911 - 0.915723
30, 60, 61, -1 - 26, -52, -49, -21, 21.170690 - 0.932446
31, 62, 63, -1 - -8, 7, 3, -22, -32.316050 - 0.245928
32, 64, 65, -1 - -22, 53, -1, -13, -25.327311 - 0.012218
33, 66, 67, -1 - -9, -28, 2, -14, 47.758415 - 0.674698
34, 68, 69, -1 - 7, 17, 48, 8, 46.574297 - 0.361248
35, 70, 71, -1 - 0, -55, 46, -35, -85.839412 - 0.456808
36, 72, 73, -1 - -29, -10, -13, -33, -17.813654 - 0.958712
37, 74, 75, -1 - -30, -6, -6, -26, 51.438948 - 0.027599
38, 76, 77, -1 - -17, 56, -16, 13, 80.114139 - 0.462631
39, 78, 79, -1 - -14, -21, 52, -13, 71.288186 - 0.078231
